,Hex Bar Deadlift,https://youtu.be/f-_q_3tN6Yo
,,
Hamstrings Hip Hinge,Exercise,Link
,Stiff-Legged Deadlift,https://youtu.be/zbYgjREbdb0
,Low Bar Good Morning,https://youtu.be/Z3AC4mmiKhw
,High Bar Good Morning,https://youtu.be/hzHJugCcT6g
,45 Degree Back Raise,https://youtu.be/OMUGU1Vh8Ao
,,
Hamstrings Isolation,Exercise,Link
,Lying Leg Curl,https://youtu.be/m4KB9-Uo4Kc
,Seated Leg Curl,https://youtu.be/BHxrogNaKoo
,Single-Leg Leg Curl,https://youtu.be/SMln-yOUKSA
,,
Chest Isolation,Exercise,Link
,Flat Dumbbell Flye,https://youtu.be/t2Kk-TOhq14
,Incline Dumbbell Flye,https://youtu.be/_GBEHrc_V5U
,Cable Flye,https://youtu.be/60Ai9_c60xg
,High Cable Flye,https://youtu.be/ipoTKasbDyQ
,Machine Chest Flye,https://youtu.be/6L7xI3jO_GU
,Cable Incline Flye,https://youtu.be/UPGRju60F60
,Pec Dec Flye,https://youtu.be/ZYM1mNayaeI
,,
Horizontal Push,Exercise,Link
,Medium Grip Bench Press,https://youtu.be/Dl-by6_vATQ
,Wide Grip Bench Press,https://youtu.be/ILToidt_G0U
,Flat Dumbbell Bench Press,https://youtu.be/20_pP7oaH34
,Close Grip Bench Press,https://youtu.be/3s_QUA4HcxI
,Flat Machine Bench Press,https://youtu.be/cg4tsxQ1BP4
,Pushup,https://youtu.be/TM_PeJIdQwE
,Close Grip Pushup,https://youtu.be/PFtO-p5VLO0
,,
Incline Push,Exercise,Link
,Incline Medium Grip Bench Press,https://youtu.be/zWRCV_td3I8
,Incline Wide Grip Bench Press,https://youtu.be/MDuOnEyof1w
,Low Incline Dumbbell Press,https://youtu.be/efDlxayx234
,Incline Dumbbell Press,https://youtu.be/LYZDsNv8kJ8
,Incline Close Grip Bench Press,https://youtu.be/2JIPv1E5a0I
,Incline Machine Bench Press,https://youtu.be/eaI0E6ZcwM4
,,
Front Delts,Exercise,Link
,Standing Barbell Shoulder Press,https://youtu.be/n9RZ6FEthGU
,Seated Barbell Shoulder Press,https://youtu.be/dF9Pm_-2zmg
,Seated Dumbbell Shoulder Press,https://youtu.be/RGFdTZznnRs
,High Incline Dumbbell Press,https://youtu.be/YIqmLutlM1g
,Shoulder Press Machine,https://youtu.be/W6kJbZeFssU
,Standing Dumbbell Shoulder Press,https://youtu.be/Ax_6UXGQo7o
,,
Triceps,Exercise,Link
,Skullcrusher,https://youtu.be/hJLXuvZd05w
,EZ Bar Overhead Tricep Extension,https://youtu.be/U3SkMY6jw5M
,JM Press,https://youtu.be/daSL236nYZs
,Barbell Overhead Tricep Extension,https://youtu.be/He-GN_4MAY4
,Dips,https://youtu.be/B48xWtzMHxk
,Seated EZ Bar Overhead Tricep Extension,https://youtu.be/pOX1m37rOWo
,Assisted Dips,https://youtu.be/a5_JKN7j7Ug
,Seated Barbell Overhead Tricep Extension,https://youtu.be/aNzU6AYZiEs
,Dumbbell Skullcrusher,https://youtu.be/TtXlapucVxM
,Cable Overhead Tricep Extension,https://youtu.be/B21LHpkamJM
,Cable Tricep Pushdown,https://youtu.be/B33bKk_r5PU
,Cable Rope Pushdown,https://youtu.be/tu2Q82-HMg0
,Bar Skull,https://youtu.be/gYbmiluG5Ho
Incline Push or Front Delts,Exercise,Link
,Incline Medium Grip Bench Press,https://youtu.be/zWRCV_td3I8
,Standing Barbell Shoulder Press,https://youtu.be/n9RZ6FEthGU
,Incline Wide Grip Bench Press,https://youtu.be/MDuOnEyof1w
,Seated Barbell Shoulder Press,https://youtu.be/dF9Pm_-2zmg
,Low Incline Dumbbell Press,https://youtu.be/efDlxayx234
,Seated Dumbbell Shoulder Press,https://youtu.be/RGFdTZznnRs
,Incline Dumbbell Press,https://youtu.be/LYZDsNv8kJ8
,High Incline Dumbbell Press,https://youtu.be/YIqmLutlM1g
,Incline Close Grip Bench Press,https://youtu.be/2JIPv1E5a0I
,Shoulder Press Machine,https://youtu.be/W6kJbZeFssU
,Incline Machine Bench Press,https://youtu.be/eaI0E6ZcwM4
,Standing Dumbbell Shoulder Press,https://youtu.be/Ax_6UXGQo7o
,,
Chest Isolation or Triceps,Exercise,Link
,Flat Dumbbell Flye,https://youtu.be/t2Kk-TOhq14
,Skullcrusher,https://youtu.be/hJLXuvZd05w
,Incline Dumbbell Flye,https://youtu.be/_GBEHrc_V5U
,EZ Bar Overhead Tricep Extension,https://youtu.be/U3SkMY6jw5M
,Cable Flye,https://youtu.be/60Ai9_c60xg
,JM Press,https://youtu.be/daSL236nYZs
,High Cable Flye,https://youtu.be/ipoTKasbDyQ
,Barbell Overhead Tricep Extension,https://youtu.be/He-GN_4MAY4
,Machine Chest Flye,https://youtu.be/6L7xI3jO_GU
,Dips,https://youtu.be/B48xWtzMHxk
,Cable Incline Flye,https://youtu.be/UPGRju60F60
,Seated EZ Bar Overhead Tricep Extension,https://youtu.be/pOX1m37rOWo
,Pec Dec Flye,https://youtu.be/ZYM1mNayaeI
,Assisted Dips,https://youtu.be/a5_JKN7j7Ug
,Seated Barbell Overhead Tricep Extension,https://youtu.be/aNzU6AYZiEs
,Dumbbell Skullcrusher,https://youtu.be/TtXlapucVxM
,Cable Overhead Tricep Extension,https://youtu.be/B21LHpkamJM
,Cable Tricep Pushdown,https://youtu.be/B33bKk_r5PU
,Cable Rope Pushdown,https://youtu.be/tu2Q82-HMg0
,Bar Skull,https://youtu.be/gYbmiluG5Ho
,,
Rear Delts or Side Delts,Exercise,Link
,Barbell Facepull,https://youtu.be/BvX7g1yr1pY
,Barbell Upright Row,https://youtu.be/fbFISuP7Ezk
,Dumbbell Facepull,https://youtu.be/d90AskSQcDc
,Dumbbell Upright Row,https://youtu.be/KkpCTyjGlZo
,Cable Facepull,https://youtu.be/Ana4dJbCvxE
,Cable Upright Row,https://youtu.be/FoZM6vuuKBc
,Dumbbell Rear Lateral Raise,https://youtu.be/c32OxRaEhxM
,Dumbbell Side Lateral Raise,https://youtu.be/pg3hz43P09w
,Thumbs Down Lateral Raise,https://youtu.be/7P2LTF73EOM
